               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059273,            0.020637,            0.019344,             0.68788,             0.83056,             0.83561,             0.38807,            0.034924,           0.0058265,           0.0030564,            0.070111,            0.003321,            0.003321
                   1,            0.044827,            0.011603,           0.0041498,             0.86096,             0.97179,             0.92312,             0.39528,            0.029002,           0.0049943,           0.0022828,            0.039452,           0.0059955,           0.0059955
                   2,            0.039629,           0.0098311,           0.0034722,             0.98245,             0.99421,             0.99064,             0.64032,            0.024375,           0.0046629,           0.0017688,           0.0081336,           0.0080101,           0.0080101
                   3,            0.034662,           0.0092672,           0.0029041,              0.9795,             0.99653,             0.99206,             0.66623,            0.022045,           0.0046771,           0.0011525,             0.00703,             0.00703,             0.00703
                   4,            0.032392,           0.0089871,           0.0022159,             0.95681,              0.9787,             0.98332,              0.6525,            0.020428,           0.0047043,           0.0025663,             0.00703,             0.00703,             0.00703
                   5,            0.029467,           0.0086147,           0.0016066,             0.99503,             0.99653,              0.9926,             0.71419,            0.019097,           0.0044234,          0.00075533,             0.00604,             0.00604,             0.00604
                   6,            0.027131,           0.0082788,           0.0012873,             0.99547,             0.99653,             0.99275,             0.71109,            0.018887,           0.0044409,          0.00049658,             0.00505,             0.00505,             0.00505
                   7,            0.025313,           0.0081594,           0.0010097,             0.99511,             0.99653,             0.99265,             0.72711,            0.017008,           0.0043168,          0.00040934,             0.00406,             0.00406,             0.00406
                   8,            0.024261,           0.0079596,           0.0008388,             0.99521,             0.99653,             0.99237,             0.73139,             0.01664,           0.0042461,          0.00030665,             0.00307,             0.00307,             0.00307
                   9,            0.022661,           0.0076797,          0.00069861,             0.99564,             0.99653,             0.99213,             0.74611,             0.01615,           0.0041612,          0.00019336,             0.00208,             0.00208,             0.00208
